week_start,week_end,spring_break,textbooks,norad,skiing,global_warming
2015-04-12,2015-04-18,11,2,0,3,4
2015-04-19,2015-04-25,4,2,0,2,5
2015-04-26,2015-05-02,3,2,0,2,5
2015-05-03,2015-05-09,3,2,0,2,4
2015-05-10,2015-05-16,3,3,0,2,4
2015-05-17,2015-05-23,3,2,0,2,4
2015-05-24,2015-05-30,3,2,0,2,4
2015-05-31,2015-06-06,2,2,0,2,4
2015-06-07,2015-06-13,2,2,0,2,3
2015-06-14,2015-06-20,2,2,0,2,3
2015-06-21,2015-06-27,2,2,0,2,3
2015-06-28,2015-07-04,2,2,0,2,3
2015-07-05,2015-07-11,2,2,0,2,3
2015-07-12,2015-07-18,2,2,0,2,3
2015-07-19,2015-07-25,2,2,0,3,3
2015-07-26,2015-08-01,2,3,0,3,3
2015-08-02,2015-08-08,2,3,0,3,3
2015-08-09,2015-08-15,3,4,0,3,3
2015-08-16,2015-08-22,2,5,0,3,3
2015-08-23,2015-08-29,2,6,0,3,3
2015-08-30,2015-09-05,3,5,0,3,3
2015-09-06,2015-09-12,3,4,0,3,4
2015-09-13,2015-09-19,3,3,0,3,4
2015-09-20,2015-09-26,3,3,0,3,4
2015-09-27,2015-10-03,3,2,0,3,4
2015-10-04,2015-10-10,3,2,0,3,4
2015-10-11,2015-10-17,3,2,0,3,4
2015-10-18,2015-10-24,3,2,0,4,4
2015-10-25,2015-10-31,3,2,1,4,4
2015-11-01,2015-11-07,3,2,0,4,5
2015-11-08,2015-11-14,4,2,0,5,5
2015-11-15,2015-11-21,3,2,0,5,5
2015-11-22,2015-11-28,3,1,0,6,4
2015-11-29,2015-12-05,4,2,1,6,7
2015-12-06,2015-12-12,4,2,1,7,6
2015-12-13,2015-12-19,4,3,1,8,6
2015-12-20,2015-12-26,5,2,40,9,4
2015-12-27,2016-01-02,7,2,1,12,3
2016-01-03,2016-01-09,11,4,0,11,4
2016-01-10,2016-01-16,10,5,0,11,4
2016-01-17,2016-01-23,10,4,0,11,5
2016-01-24,2016-01-30,10,3,0,10,5
2016-01-31,2016-02-06,11,3,0,9,5
2016-02-07,2016-02-13,11,2,0,9,4
2016-02-14,2016-02-20,13,2,0,8,4
2016-02-21,2016-02-27,16,2,0,7,4
2016-02-28,2016-03-05,20,2,0,6,5
2016-03-06,2016-03-12,23,2,0,6,5
2016-03-13,2016-03-19,23,2,0,5,5
2016-03-20,2016-03-26,19,2,0,5,4
2016-03-27,2016-04-02,12,2,0,4,4
2016-04-03,2016-04-09,7,2,0,3,4
2016-04-10,2016-04-16,4,2,0,3,5
2016-04-17,2016-04-23,4,2,0,3,5
2016-04-24,2016-04-30,3,2,0,2,5
2016-05-01,2016-05-07,3,2,0,2,5
2016-05-08,2016-05-14,3,2,0,2,5
2016-05-15,2016-05-21,3,2,0,2,5
2016-05-22,2016-05-28,2,2,0,3,4
2016-05-29,2016-06-04,2,2,0,2,4
2016-06-05,2016-06-11,2,2,0,2,4
2016-06-12,2016-06-18,2,1,0,2,3
